fecha_operacion,fecha_cargo,descripcion,monto_mxn,tarjeta,categoria,subcategoria,es_abono,notas
2026-08-25,2026-08-25,PGA*PAGA AGR CDM,102.0,titular ···1157,Transporte,App / taxi (Paga),False,
2026-08-25,2026-08-26,LA VALIENTE,165.0,titular ···1157,Restaurantes y cafés,Café / repostería,False,
2026-08-26,2026-08-26,PGA*PAGA AGR CDM,108.0,titular ···1157,Transporte,App / taxi (Paga),False,
2026-08-26,2026-08-27,LA VALIENTE,205.0,titular ···1157,Restaurantes y cafés,Café / repostería,False,
2026-08-27,2026-08-27,PGA*PAGA AGR CDM,102.0,titular ···1157,Transporte,App / taxi (Paga),False,
2026-08-28,2026-08-28,PGA*PAGA AGR CDM,102.0,titular ···1157,Transporte,App / taxi (Paga),False,
2026-08-28,2026-08-31,CELTok NEZA,48.0,titular ···1157,Conveniencia,Tienda de conveniencia,False,
2026-08-29,2026-08-31,168 URBAN BOTURINI,99.0,titular ···1157,Compras personales,Retail / moda,False,
2026-08-29,2026-08-31,SUPERCENTER P CENTRO,3191.59,titular ···1157,Supermercado,Hiper / super,False,
2026-08-29,2026-08-31,CENTRO BUTURINI,450.0,titular ···1157,Servicios varios,Otros comercios,False,
2026-08-29,2026-08-31,SANTA CLARA BOTURINI,134.0,titular ···1157,Restaurantes y cafés,Café / repostería,False,
2026-08-30,2026-08-31,SMARTPY*REST WENDYS REF,533.0,titular ···1157,Restaurantes y cafés,Bar / restaurante,False,
2026-08-30,2026-08-31,EPIC REFORMA 222,2546.3,titular ···1157,Restaurantes y cafés,Bar / restaurante,False,
2026-08-31,2026-08-31,PGA*PAGA AGR CDM,108.0,titular ···1157,Transporte,App / taxi (Paga),False,
2026-09-01,2026-09-01,PGA*PAGA AGR CDM,63.0,titular ···1157,Transporte,App / taxi (Paga),False,
2026-09-01,2026-09-02,F AHORRO MXRP R BRASIL,490.0,titular ···1157,Farmacia y salud,Farmacia,False,
2026-09-01,2026-09-02,ZTL*CONSULTORIO MEDICO,1500.0,titular ···1157,Farmacia y salud,Laboratorio / clínica,False,
2026-09-01,2026-09-02,FSN PABLO ISABEL LA CAT,487.0,titular ···1157,Servicios varios,Otros comercios,False,
2026-09-01,2026-09-02,LA VALIENTE,110.0,titular ···1157,Restaurantes y cafés,Café / repostería,False,
2026-09-02,2026-09-02,PGA*PAGA AGR CDM,63.0,titular ···1157,Transporte,App / taxi (Paga),False,
2026-09-03,2026-09-03,PGA*PAGA AGR CDM,63.0,titular ···1157,Transporte,App / taxi (Paga),False,
2026-09-03,2026-09-04,PETCO MX,1369.0,titular ···1157,Mascotas,Tienda mascotas,False,
2026-09-04,2026-09-04,PGA*PAGA AGR CDM,108.3,titular ···1157,Transporte,App / taxi (Paga),False,
2026-09-04,2026-09-07,PETCO MX,426.43,titular ···1157,Mascotas,Tienda mascotas,False,
2026-09-04,2026-09-07,DECATHLON POLANCO,397.0,titular ···1157,Compras personales,Retail / moda,False,
2026-09-04,2026-09-07,OXXO MOLIERE,24.0,titular ···1157,Conveniencia,Tienda de conveniencia,False,
2026-09-05,2026-09-07,OXXO TIZAPAN,235.0,titular ···1157,Conveniencia,Tienda de conveniencia,False,
2026-09-06,2026-09-07,CAFEBRERIA EL PENDULO,419.0,titular ···1157,Restaurantes y cafés,Café / repostería,False,
2026-09-06,2026-09-07,CLARICE CAFE LITERATUR,462.0,titular ···1157,Restaurantes y cafés,Café / repostería,False,
2026-09-07,2026-09-07,PGA*PAGA AGR CDM,54.0,titular ···1157,Transporte,App / taxi (Paga),False,
2026-09-07,2026-09-08,LA VALIENTE,205.0,titular ···1157,Restaurantes y cafés,Café / repostería,False,
2026-09-07,2026-09-08,OXXO MEDICO MILITAR,35.0,titular ···1157,Conveniencia,Tienda de conveniencia,False,
2026-09-08,2026-09-08,PGA*PAGA AGR CDM,102.0,titular ···1157,Transporte,App / taxi (Paga),False,
2026-09-08,2026-09-09,SUPERNATURISTA IZAZAG,215.0,titular ···1157,Farmacia y salud,Laboratorio / clínica,False,
2026-09-08,2026-09-09,OXXO TIZAPAN,53.0,titular ···1157,Conveniencia,Tienda de conveniencia,False,
2026-09-08,2026-09-09,CHEDRAUI BUEN TONO 129,1251.65,titular ···1157,Supermercado,Hiper / super,False,
2026-09-09,2026-09-09,PGA*PAGA AGR CDM,63.0,titular ···1157,Transporte,App / taxi (Paga),False,
2026-09-10,2026-09-10,PGA*PAGA AGR CDM,102.6,titular ···1157,Transporte,App / taxi (Paga),False,
2026-09-11,2026-09-14,SUPERCENTER P CENTRO,2102.83,titular ···1157,Supermercado,Hiper / super,False,
2026-09-11,2026-09-14,OXXO TIZAPAN,200.0,titular ···1157,Conveniencia,Tienda de conveniencia,False,
2026-09-12,2026-09-14,MERPAGO*BERENICELAZ,1400.0,titular ···1157,Compras personales,Marketplace / delivery,False,
2026-09-12,2026-09-14,ZTL*CHOPPEADITO,440.0,titular ···1157,Restaurantes y cafés,Bar / restaurante,False,
2026-09-12,2026-09-14,BAR HOSTERIA LA BOTA,500.0,titular ···1157,Restaurantes y cafés,Bar / restaurante,False,
2026-09-13,2026-09-14,FAR GUAD 2789,169.0,titular ···1157,Farmacia y salud,Farmacia,False,
2026-09-14,2026-09-15,LA VALIENTE,275.0,titular ···1157,Restaurantes y cafés,Café / repostería,False,
2026-09-15,2026-09-15,PGA*PAGA AGR CDM,108.0,titular ···1157,Transporte,App / taxi (Paga),False,
2026-09-15,2026-09-17,F AHORRO MXBL ISABEL,1794.0,titular ···1157,Farmacia y salud,Farmacia,False,
2026-09-15,2026-09-17,TELAS PARISINA 902,28.97,titular ···1157,Compras personales,Retail / moda,False,
2026-09-16,2026-09-17,HELADOS SANTA CLARA,65.0,titular ···1157,Restaurantes y cafés,Café / repostería,False,
2026-09-16,2026-09-17,GLOBO MUSEO BIMBO,97.0,titular ···1157,Entretenimiento,Cine / cultura,False,
2026-09-17,2026-09-18,PGA*PAGA AGR CDM,102.6,titular ···1157,Transporte,App / taxi (Paga),False,
2026-09-18,2026-09-18,PGA*PAGA AGR CDM,63.0,titular ···1157,Transporte,App / taxi (Paga),False,
2026-08-26,2026-08-27,SILBE BY SILVY APP (39.99 USD),681.86,adicional ···8020,Suscripciones,Streaming / software,False,
2026-08-30,2026-08-31,STR*CINEMEX COM,328.0,adicional ···8020,Entretenimiento,Cine / cultura,False,
2026-09-04,2026-09-07,PPROMEX*ADOBE,276.89,adicional ···8020,Suscripciones,Streaming / software,False,
2026-09-05,2026-09-07,TELCEL 9MPS ECOM,316.8,adicional ···8020,Telecomunicaciones,Telefonía,False,
2026-09-05,2026-09-07,CHOPO 9003 LIGA E PAG,3595.51,adicional ···8020,Farmacia y salud,Laboratorio / clínica,False,
2026-09-10,2026-09-11,ANTHROPIC* CLAUDE SUB (20 USD),341.14,adicional ···8020,Suscripciones,Streaming / software,False,
2026-09-18,2026-09-18,DLO*SPOTIFY MEX,74.0,adicional ···8020,Suscripciones,Streaming / software,False,
2026-09-13,2026-09-14,SUPERCENTER P CENTRO,1004.0,adicional ···1207,Supermercado,Hiper / super,False,
2026-09-14,2026-09-14,USO DE SALDO HSBC CASHBACK,-1004.0,adicional ···1207,Pagos y abonos,Pago / cashback,True,
